"rssi","pos","delay"
-86,0,1002
-74,0,1008
-74,0,999
-73,0,1009
-78,0,1005
-71,0,1006
-74,0,1008
-65,0,1001
-61,0,1004
-69,0,1009
-70,0,1008
-65,0,1006
-77,0,1008
-67,0,2013
-79,0,1005
-62,0,1010
-71,0,999
-73,0,1008
-71,0,1001
-63,0,1010
-64,0,999
-65,0,1002
-78,0,1009
-81,0,1004
-71,0,1004
-71,0,1008
-67,0,1007
-64,0,1004
-78,0,1003
-64,0,1007
-71,0,1005
-70,0,1007
-68,0,1002
-65,0,1010
-70,0,1007
-63,0,2011
-60,0,1007
-64,0,1007
-68,0,2014
-83,0,1007
-81,0,1008
-77,0,1000
-66,0,1010
-68,0,1001
-68,0,1009
-75,0,1008
-65,0,2005
-75,0,1007
-73,0,1003
-82,0,1009
-80,0,1001
-79,0,2016
-89,1,2011
-89,1,2012
-96,1,1006
-83,1,1008
-84,1,1006
-78,1,2014
-91,1,1001
-74,1,999
-73,1,1011
-83,1,1006
-78,1,1006
-78,1,1001
-90,1,1012
-77,1,1004
-78,1,1004
-85,1,999
-72,1,1010
-83,1,1001
-79,1,1003
-86,1,1006
-84,1,1013
-84,1,999
-86,1,1005
-79,1,2019
-80,1,1001
-78,1,1005
-78,1,1000
-78,1,1011
-76,1,1008
-81,1,1005
-73,1,1005
-76,1,1003
-89,1,2009
-89,1,3010
-89,1,1007
-85,1,1003
-81,1,1006
-84,1,1001
-74,1,1003
-78,1,2004
-79,1,1006
-86,1,1000
-83,1,1009
-84,1,1004
-94,1,1009
-83,1,998
-87,1,1005
-81,1,1002
-76,1,1009
-71,1,1002
-73,1,1008
-69,0,1005
-65,0,1010
-70,0,1009
-65,0,1007
-69,0,1006
-67,0,1003
-63,0,1008
-68,0,998
-76,0,2015
-82,0,1003
-73,0,2006
-66,0,1004
-73,0,998
-77,0,1008
-75,0,1004
-70,0,1009
-79,0,1006
-71,0,1010
-73,0,995
-74,0,1011
-69,0,1007
-77,0,1006
-71,0,1002
-73,0,1004
-72,0,1006
-73,0,2009
-71,0,1004
-69,0,1009
-68,0,2010
-80,0,2012
-77,0,1009
-76,0,1007
-75,0,1003
-64,0,1005
-72,0,1003
-72,0,1012
-79,0,1002
-71,0,1004
-79,0,1004
-76,0,1011
-85,0,1001
-68,0,1002
-77,0,1008
-70,0,1008
-66,0,1001
-70,0,1004
-70,0,2004
-83,0,2008
-90,1,1003
-90,1,1006
-87,1,2013
-92,1,2005
-79,1,2010
-75,1,1006
-76,1,1001
-89,1,1005
-76,1,1005
-69,1,1004
-80,1,2011
-92,1,1001
-92,1,1001
-82,1,2004
-77,1,1004
-78,1,1004
-77,1,1007
-84,1,1001
-77,1,1001
-76,1,1008
-77,1,1006
-80,1,1003
-79,1,1006
-84,1,1002
-83,1,2006
-90,1,1001
-82,1,1007
-80,1,1001
-76,1,1007
-73,1,1004
-83,1,1006
-70,1,1004
-71,1,1004
-78,1,1006
-70,1,1005
-85,1,1008
-78,1,1003
-90,1,1004
-87,1,2014
-77,1,1001
-81,1,1004
-73,1,1007
-77,1,1005
-74,1,1004
-74,1,1002
-80,1,1005
-77,1,1014
-78,1,1000
-78,1,1006
